epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.125,0.56692,1.47758,0.87997,0.91693,0.94549,0.9553,0.7786,0.77787,0.5726,0.93443,0.000203804,0.000203804,0.000203804
2,195.586,0.37054,0.36232,0.80642,0.99487,0.99486,0.99494,0.85032,0.66853,0.33621,0.91464,0.000412037,0.000412037,0.000412037
3,261.621,0.34764,0.31058,0.80612,0.99,0.99213,0.99476,0.85308,0.63282,0.33168,0.90539,0.000619865,0.000619865,0.000619865
4,328.233,0.33348,0.28483,0.80193,0.98692,0.99297,0.98897,0.88448,0.52599,0.27467,0.85557,0.000623627,0.000623627,0.000623627
5,394.541,0.33171,0.27107,0.80016,0.99371,0.99518,0.99479,0.85586,0.65788,0.29406,0.90104,0.00062256,0.00062256,0.00062256
6,460.235,0.31898,0.25926,0.79835,0.99461,0.99209,0.99468,0.86165,0.64268,0.28551,0.90338,0.000621191,0.000621191,0.000621191
7,527.136,0.32597,0.24995,0.80104,0.99692,0.99555,0.9947,0.85316,0.65312,0.28131,0.91003,0.00061952,0.00061952,0.00061952
8,594.033,0.31561,0.24257,0.79945,0.99808,0.99801,0.99496,0.87099,0.59612,0.26854,0.89123,0.000617549,0.000617549,0.000617549
9,660.753,0.29803,0.22613,0.79543,0.99782,0.99562,0.99499,0.85684,0.65091,0.28197,0.91321,0.00061528,0.00061528,0.00061528
10,727.375,0.30414,0.23081,0.79524,0.99717,0.99756,0.99489,0.86808,0.60492,0.26534,0.89182,0.000612716,0.000612716,0.000612716
11,793.757,0.28784,0.21345,0.79265,0.99478,0.99692,0.99496,0.86028,0.63757,0.27069,0.90381,0.000609858,0.000609858,0.000609858
12,859.966,0.29307,0.21946,0.79258,0.99751,0.99814,0.99459,0.87828,0.56433,0.24516,0.87063,0.00060671,0.00060671,0.00060671
13,927.602,0.28915,0.21119,0.79195,0.99841,0.99761,0.995,0.86106,0.61988,0.25654,0.90823,0.000603275,0.000603275,0.000603275
14,994.763,0.28768,0.21021,0.79223,0.99865,0.99828,0.995,0.85784,0.64835,0.25745,0.90776,0.000599555,0.000599555,0.000599555
15,1060.86,0.28605,0.20299,0.79127,0.99874,0.99894,0.995,0.88254,0.55598,0.2298,0.88369,0.000595556,0.000595556,0.000595556
16,1127.53,0.28251,0.20281,0.79105,0.99463,0.99732,0.99429,0.87631,0.57926,0.25955,0.88385,0.00059128,0.00059128,0.00059128
17,1193.65,0.27944,0.19989,0.79088,0.99862,0.9979,0.99499,0.85754,0.62872,0.25344,0.89962,0.000586732,0.000586732,0.000586732
18,1259.91,0.28678,0.19995,0.79192,0.99758,0.99779,0.99488,0.8739,0.59699,0.24568,0.88924,0.000581917,0.000581917,0.000581917
