epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6307,0.23557,0.16399,0.77807,0.99829,0.99918,0.995,0.88607,0.5423,0.22964,0.8774,0.000203804,0.000203804,0.000203804
2,89.5499,0.24542,0.17886,0.78206,0.99666,0.99734,0.99496,0.85283,0.64981,0.28866,0.91476,0.000391737,0.000391737,0.000391737
3,119.603,0.23916,0.1753,0.77998,0.99652,0.99729,0.99487,0.85645,0.65169,0.27134,0.91816,0.000559044,0.000559044,0.000559044
4,154.484,0.24799,0.1887,0.78048,0.98842,0.99032,0.9948,0.85395,0.65833,0.29054,0.91944,0.000532187,0.000532187,0.000532187
5,192.051,0.24601,0.17563,0.77894,0.99185,0.99503,0.99446,0.85717,0.65432,0.26825,0.91772,0.00050125,0.00050125,0.00050125
6,229.375,0.2419,0.17021,0.77939,0.99837,0.99854,0.995,0.86806,0.61414,0.24879,0.90451,0.000470312,0.000470312,0.000470312
7,264.351,0.23229,0.16021,0.77624,0.99738,0.99742,0.99498,0.89333,0.51118,0.21858,0.86176,0.000439375,0.000439375,0.000439375
8,300.073,0.23203,0.15774,0.77593,0.99957,0.99909,0.995,0.86419,0.63777,0.24146,0.91548,0.000408438,0.000408438,0.000408438
9,334.277,0.22937,0.15367,0.77577,0.999,0.99899,0.995,0.86366,0.64074,0.24095,0.91359,0.0003775,0.0003775,0.0003775
10,370.371,0.22402,0.15126,0.77404,0.99941,0.99956,0.995,0.85436,0.68484,0.26064,0.93468,0.000346563,0.000346563,0.000346563
11,399.778,0.22447,0.14998,0.77396,0.99686,0.99906,0.995,0.8679,0.62119,0.23892,0.9042,0.000315625,0.000315625,0.000315625
12,434.918,0.21869,0.14631,0.77344,0.99934,0.99842,0.995,0.86009,0.6538,0.2457,0.91548,0.000284688,0.000284688,0.000284688
13,468.541,0.21673,0.14539,0.77404,0.99837,0.99918,0.99488,0.86721,0.63395,0.24389,0.91049,0.00025375,0.00025375,0.00025375
14,504.963,0.2103,0.13866,0.77061,0.99914,0.99858,0.995,0.86508,0.64794,0.23999,0.91624,0.000222813,0.000222813,0.000222813
15,541.447,0.20783,0.13514,0.77095,0.99886,0.99958,0.995,0.87132,0.62327,0.24004,0.90278,0.000191875,0.000191875,0.000191875
16,576.366,0.20428,0.13142,0.77233,0.9992,0.99932,0.995,0.86327,0.66939,0.24428,0.92547,0.000160938,0.000160938,0.000160938
17,608.618,0.20135,0.13013,0.769,0.99901,0.99929,0.995,0.86522,0.64904,0.23473,0.9184,0.00013,0.00013,0.00013
18,643.35,0.19824,0.12749,0.77022,0.99889,0.99936,0.995,0.87142,0.62885,0.22852,0.90828,9.90625e-05,9.90625e-05,9.90625e-05
19,680.545,0.19528,0.12348,0.77015,0.99927,0.99953,0.995,0.86887,0.64202,0.22962,0.91474,6.8125e-05,6.8125e-05,6.8125e-05
20,717.34,0.19116,0.11834,0.76762,0.9994,0.99955,0.995,0.86804,0.64552,0.23009,0.91905,3.71875e-05,3.71875e-05,3.71875e-05
