epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.886,1.23597,3.3195,0.67977,1.02043,1.92776,0.86457,0.96061,0.97347,0.66581,0.43231,0.50303,0.26232,0.04013,1.17178,4.23686,0.35307,1.52372,1.68615,0.000662983,0.000662983,0.000662983
2,301.94,0.85479,2.2306,0.60157,0.60408,1.54557,0.8598,0.98485,0.95848,0.52624,0.59623,0.68464,0.53596,0.18143,1.45205,3.42916,0.03331,2.1153,2.40387,0.0013132,0.0013132,0.0013132
3,450.109,0.83526,1.71464,0.58875,0.6021,1.52304,0.9342,0.9895,0.98613,0.72168,0.68335,0.72424,0.60391,0.34297,0.96552,2.80791,0.12559,1.0185,2.01156,0.00194691,0.00194691,0.00194691
4,596.903,0.76569,1.34231,0.55707,0.55754,1.44954,0.97587,1,0.99426,0.75992,0.82707,0.84242,0.75435,0.47809,0.84587,2.06339,0.22115,0.73225,1.61158,0.00192575,0.00192575,0.00192575
5,744.099,0.72905,1.17113,0.53169,0.52346,1.41587,0.98793,0.99697,0.99448,0.83014,0.84132,0.85156,0.77372,0.59066,0.67234,1.79006,0.13344,0.55419,1.47264,0.001901,0.001901,0.001901
6,889.583,0.70948,0.9625,0.50124,0.50053,1.40751,0.98927,1,0.99491,0.84442,0.83682,0.83915,0.75362,0.59014,0.61479,1.76533,0.2367,0.59989,1.4412,0.00187625,0.00187625,0.00187625
7,1033.71,0.65447,0.86007,0.47211,0.47988,1.35326,0.97044,0.99484,0.99307,0.84348,0.79013,0.80999,0.7169,0.51564,0.68606,2.03121,0.3757,0.58125,1.44292,0.0018515,0.0018515,0.0018515
8,1179.82,0.62306,0.76761,0.44872,0.45408,1.31432,0.98681,1,0.99485,0.87029,0.85523,0.86667,0.81193,0.6686,0.64065,1.56108,0.16483,0.50951,1.48214,0.00182675,0.00182675,0.00182675
9,1327.42,0.60955,0.69761,0.42731,0.43559,1.29914,0.98695,1,0.99457,0.8991,0.86104,0.87273,0.80673,0.68276,0.51243,1.47437,0.10526,0.46145,1.24903,0.001802,0.001802,0.001802
10,1473.92,0.55185,0.65071,0.39854,0.41327,1.2533,0.99882,1,0.995,0.88444,0.86559,0.86667,0.79492,0.68526,0.52302,1.56048,0.18938,0.50467,1.30044,0.00177725,0.00177725,0.00177725
11,1614.38,0.56366,0.5525,0.37781,0.40416,1.26042,0.99685,1,0.995,0.86995,0.88426,0.88788,0.83474,0.72778,0.54902,1.19553,0.08704,0.44866,1.34159,0.0017525,0.0017525,0.0017525
12,1757.21,0.55169,0.51492,0.34974,0.39329,1.24953,0.99955,1,0.995,0.87672,0.90565,0.90606,0.86389,0.74803,0.53703,1.24935,0.11761,0.46567,1.32048,0.00172775,0.00172775,0.00172775
13,1900.26,0.50499,0.49594,0.32584,0.36778,1.20495,0.99946,1,0.995,0.90089,0.89041,0.89091,0.86504,0.78286,0.45673,1.20825,0.06028,0.39918,1.15774,0.001703,0.001703,0.001703
14,2049.39,0.47934,0.44404,0.31065,0.3541,1.18449,1,0.99984,0.995,0.92315,0.89392,0.8938,0.83392,0.75152,0.44434,1.20459,0.10081,0.37244,1.15647,0.00167825,0.00167825,0.00167825
15,2191.67,0.47943,0.39706,0.28597,0.34576,1.17458,0.99968,1,0.995,0.94475,0.89668,0.89697,0.83932,0.77385,0.3826,1.091,0.12323,0.34533,1.11067,0.0016535,0.0016535,0.0016535
16,2334.48,0.48196,0.40586,0.27856,0.34756,1.179,0.99681,1,0.995,0.92703,0.89232,0.89394,0.85293,0.77962,0.41657,1.20344,0.09834,0.34683,1.15759,0.00162875,0.00162875,0.00162875
17,2476.8,0.44392,0.3892,0.26874,0.32854,1.15648,0.99971,1,0.995,0.93938,0.88777,0.88788,0.8454,0.79014,0.38617,1.23617,0.09865,0.30941,1.09625,0.001604,0.001604,0.001604
18,2618.56,0.44942,0.36721,0.24799,0.32844,1.15458,1,0.99994,0.995,0.94616,0.87566,0.87576,0.7965,0.68688,0.36421,1.43043,0.09948,0.31853,1.08244,0.00157925,0.00157925,0.00157925
19,2761.46,0.44006,0.35045,0.24104,0.32468,1.16366,0.99915,1,0.995,0.94962,0.88406,0.88485,0.83342,0.77165,0.34199,1.21049,0.06951,0.30047,1.0437,0.0015545,0.0015545,0.0015545
20,2903.37,0.42111,0.34975,0.23493,0.31121,1.12393,0.99956,1,0.995,0.95139,0.88443,0.88485,0.8363,0.7765,0.3369,1.09644,0.07361,0.29074,1.04353,0.00152975,0.00152975,0.00152975
21,3045.19,0.40742,0.30495,0.22886,0.31036,1.11682,0.99979,1,0.995,0.94049,0.90284,0.90303,0.86523,0.82624,0.37679,1.0458,0.05505,0.28704,1.10698,0.001505,0.001505,0.001505
22,3189.97,0.41556,0.33044,0.21599,0.30857,1.11543,0.99974,1,0.995,0.96007,0.90886,0.90909,0.85698,0.79896,0.3204,1.00846,0.06015,0.27743,1.0171,0.00148025,0.00148025,0.00148025
23,3335.11,0.4058,0.30328,0.21082,0.29795,1.11235,0.99981,1,0.995,0.96265,0.90286,0.90303,0.84589,0.78722,0.33458,1.12209,0.04014,0.2679,1.00064,0.0014555,0.0014555,0.0014555
24,3479.56,0.40546,0.30577,0.21834,0.29778,1.11604,0.99979,1,0.995,0.96683,0.89071,0.89091,0.84548,0.78655,0.32189,1.13215,0.05328,0.26081,0.99486,0.00143075,0.00143075,0.00143075
25,3624.97,0.39416,0.27895,0.18591,0.2885,1.09717,0.99959,1,0.995,0.95388,0.90568,0.90606,0.88052,0.82302,0.31864,1.02403,0.05263,0.23943,1.00197,0.001406,0.001406,0.001406
26,3770.56,0.39914,0.3014,0.20536,0.29096,1.10527,0.99974,1,0.995,0.96476,0.92096,0.92121,0.88587,0.82573,0.29285,0.93276,0.04645,0.25133,0.9525,0.00138125,0.00138125,0.00138125
27,3915.76,0.38595,0.27318,0.1909,0.28477,1.0899,0.99981,1,0.995,0.97466,0.89983,0.9,0.86245,0.82608,0.2709,1.02692,0.02945,0.24174,0.93789,0.0013565,0.0013565,0.0013565
28,4060.46,0.38075,0.22376,0.17447,0.27605,1.09386,0.99361,1,0.99497,0.95696,0.91833,0.92424,0.89019,0.84536,0.32464,0.90484,0.05918,0.25512,0.98758,0.00133175,0.00133175,0.00133175
29,4206.54,0.38502,0.21549,0.16807,0.27911,1.08498,0.99966,1,0.995,0.96311,0.90875,0.90534,0.87491,0.84616,0.29156,0.91414,0.03065,0.24192,0.95562,0.001307,0.001307,0.001307
30,4356.35,0.3665,0.23181,0.16912,0.27075,1.0715,0.99956,1,0.995,0.97913,0.9208,0.92121,0.9112,0.86858,0.26024,0.8834,0.02827,0.23482,0.93081,0.00128225,0.00128225,0.00128225
31,4505.3,0.3622,0.22397,0.1703,0.26596,1.07984,0.99979,1,0.995,0.96744,0.91799,0.91818,0.89702,0.84473,0.31627,0.97922,0.02819,0.26564,1.0351,0.0012575,0.0012575,0.0012575
32,4650.44,0.35731,0.21884,0.16268,0.26371,1.06201,0.99967,1,0.995,0.96983,0.91787,0.91818,0.87338,0.81896,0.29632,0.95135,0.02303,0.24607,0.96656,0.00123275,0.00123275,0.00123275
33,4800.75,0.35923,0.19799,0.15245,0.2571,1.07101,0.99912,1,0.995,0.94761,0.8901,0.89091,0.8703,0.83344,0.3616,1.12937,0.01969,0.25611,1.08365,0.001208,0.001208,0.001208
34,4948.45,0.35387,0.21689,0.15979,0.26105,1.05893,0.99978,1,0.995,0.97446,0.90889,0.90909,0.86654,0.82986,0.30369,0.90722,0.02051,0.23984,0.96031,0.00118325,0.00118325,0.00118325
35,5094.19,0.35089,0.18281,0.14845,0.25808,1.05255,0.99953,1,0.995,0.97537,0.92078,0.92121,0.87855,0.83051,0.25892,0.84152,0.03944,0.23566,0.90796,0.0011585,0.0011585,0.0011585
36,5237.24,0.34379,0.19973,0.14871,0.25379,1.04694,0.99883,1,0.995,0.97694,0.92013,0.92121,0.88588,0.84572,0.27367,0.80416,0.03868,0.22562,0.91962,0.00113375,0.00113375,0.00113375
37,5380.59,0.35028,0.18417,0.14721,0.25091,1.05423,0.99955,1,0.995,0.97601,0.92707,0.92727,0.907,0.87346,0.28485,0.82945,0.03687,0.23836,0.94981,0.001109,0.001109,0.001109
38,5526.17,0.33765,0.18087,0.1358,0.24349,1.04532,0.99981,1,0.995,0.97701,0.93315,0.93333,0.89764,0.86325,0.26525,0.69391,0.01855,0.22388,0.91385,0.00108425,0.00108425,0.00108425
39,5672.24,0.33049,0.16548,0.12732,0.24457,1.04383,0.9994,1,0.995,0.98581,0.92671,0.92727,0.89518,0.87354,0.27826,0.71912,0.01937,0.21726,0.91751,0.0010595,0.0010595,0.0010595
40,5817.25,0.32921,0.14566,0.1248,0.23796,1.04263,0.99983,1,0.995,0.98128,0.92408,0.92424,0.89091,0.86503,0.27184,0.79265,0.04018,0.21443,0.90995,0.00103475,0.00103475,0.00103475
41,5960.16,0.32725,0.14415,0.11974,0.23879,1.03555,0.99979,1,0.995,0.98214,0.91495,0.91515,0.90211,0.88544,0.25461,0.80452,0.01991,0.20203,0.87833,0.00101,0.00101,0.00101
