epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6983,1.5268,3.47117,0.68199,1.89419,2.22516,0.11859,0.88788,0.11804,0.05205,0.03483,0.28485,0.01927,0.00207,1.90556,4.26932,0.27117,69.8196,3.25174,0.000652174,0.000652174,0.000652174
2,69.0545,0.88466,2.79293,0.58739,0.61948,1.55622,0.38267,0.43636,0.357,0.09169,0.02642,0.11818,0.00743,0.00081,2.87704,5.1867,0.02784,5.99279,4.42793,0.00131834,0.00131834,0.00131834
3,95.8674,0.77574,2.68714,0.56087,0.53277,1.45842,0.46413,0.66667,0.60948,0.40169,0.19094,0.28485,0.10366,0.01118,1.28514,4.23957,0.00892,5.99995,2.02984,0.00198248,0.00198248,0.00198248
4,122.82,0.74097,2.69571,0.5571,0.51491,1.42938,0.36678,0.71212,0.39103,0.07186,0.0273,0.07273,0.00828,0.00091,3.01347,5.06768,0.27268,9.10362,5.00168,0.00199314,0.00199314,0.00199314
5,151.374,0.68969,2.69376,0.55425,0.49409,1.3752,0.24222,0.63939,0.27509,0.13645,0.09235,0.24545,0.04473,0.0058,1.72756,4.13293,0.02293,3.38816,2.76676,0.00198781,0.00198781,0.00198781
6,178.105,0.65389,2.46876,0.54029,0.47076,1.33827,0.97689,0.97273,0.99256,0.85317,0.39125,0.36031,0.20972,0.02654,0.58999,4.0704,0.03005,1.11686,1.41003,0.00198098,0.00198098,0.00198098
7,204.897,0.60882,2.46901,0.53281,0.43199,1.30584,0.96764,0.99676,0.99437,0.66788,0.38459,0.39697,0.21145,0.02273,1.15791,4.05372,0.06132,1.02407,2.01356,0.00197265,0.00197265,0.00197265
8,231.72,0.54993,2.50473,0.53108,0.40436,1.24017,0.98209,1,0.9947,0.90408,0.40214,0.38728,0.20851,0.02619,0.45406,4.03882,0.03242,0.42245,1.24315,0.00196283,0.00196283,0.00196283
9,258.678,0.52914,2.39836,0.53349,0.38507,1.23162,0.9996,1,0.995,0.90648,0.41504,0.41515,0.1908,0.02021,0.44536,4.04434,0.04086,0.40825,1.27363,0.00195155,0.00195155,0.00195155
10,285.225,0.53439,2.43692,0.51696,0.38016,1.23864,0.97828,0.99697,0.99455,0.90982,0.41083,0.40303,0.22815,0.0256,0.4692,4.03132,0.01557,0.472,1.27852,0.00193881,0.00193881,0.00193881
11,312.08,0.51075,2.45466,0.52892,0.36939,1.20319,0.99697,0.99822,0.995,0.91825,0.40303,0.40303,0.2027,0.02255,0.41197,4.01575,0.05339,0.44268,1.25238,0.00192464,0.00192464,0.00192464
12,339.266,0.46956,2.51882,0.52684,0.34283,1.16608,0.99951,1,0.995,0.94789,0.40586,0.40606,0.19184,0.02095,0.3465,4.02201,0.01245,0.39461,1.03198,0.00190906,0.00190906,0.00190906
13,367.532,0.47187,2.4317,0.52509,0.33606,1.18093,0.99949,1,0.995,0.94637,0.40614,0.40606,0.21831,0.02369,0.34803,4.02776,0.05237,0.30708,1.02961,0.0018921,0.0018921,0.0018921
14,395.812,0.46879,2.38312,0.51782,0.3419,1.16967,0.99945,1,0.995,0.95992,0.41224,0.41212,0.20078,0.02135,0.32908,4.00307,0.04868,0.31734,1.04457,0.00187377,0.00187377,0.00187377
15,422.689,0.42945,2.34981,0.52048,0.31606,1.12783,0.99675,0.99697,0.995,0.91359,0.40676,0.40606,0.23634,0.02578,0.42696,4.02783,0.02303,0.40186,1.20238,0.00185411,0.00185411,0.00185411
16,449.25,0.44226,2.42359,0.51699,0.31822,1.137,0.9997,1,0.995,0.94687,0.42718,0.42727,0.28146,0.03327,0.33811,4.01453,0.02338,0.29884,1.03033,0.00183315,0.00183315,0.00183315
17,475.512,0.45311,2.35387,0.52047,0.31322,1.15447,0.99917,1,0.995,0.9521,0.40298,0.40303,0.20334,0.0219,0.32142,4.01014,0.01536,0.28871,1.03073,0.00181093,0.00181093,0.00181093
18,502.162,0.43089,2.40232,0.52308,0.30669,1.13358,0.99939,1,0.995,0.96892,0.41505,0.41515,0.22018,0.02371,0.27918,4.00428,0.01321,0.27799,0.97008,0.00178746,0.00178746,0.00178746
